,id_competition,date_from,date_to,name,has_results,city,street,street_no,comp_year,prime_event,continent_short,has_logo,competition_code,updated_at_ts,updated_at,timezone,id_live_theme,code_live_theme,country_short,country,id_country,is_teams,status,external_id,id_draw_type,ages,rank_name
0,1017,2009/12/11,2009/12/13,Grand Slam Tokyo 2009,112,Tokyo,,,2009,1,JUA,0,gs_jpn2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,JPN,Japan,13,0,,gs_jpn2009,1,['sen'],Grand Slam
1,1048,2009/12/04,2009/12/05,World Cup Suwon 2009,111,Suwon,,,2009,0,JUA,0,wcup_kor2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,KOR,Republic of Korea,15,0,,wcup_kor2009,1,['sen'],World Cup
2,1019,2009/11/28,2009/11/29,Grand Prix Qingdao 2009,111,Qingdao,,,2009,1,JUA,0,gp_chn2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,CHN,People's Republic of China,46,0,,gp_chn2009,1,['sen'],Grand Prix
3,1018,2009/11/20,2009/11/21,Grand Prix Abu Dhabi 2009,91,Abu Dhabi,,,2009,1,JUA,0,gp_uae2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,UAE,United Arab Emirates,155,0,,gp_uae2009,1,['sen'],Grand Prix
4,1030,2009/11/14,2009/11/15,World Cup Apia 2009,76,Apia,,,2009,0,OJU,0,wcup_sam2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,SAM,Samoa,167,0,,wcup_sam2009,1,['sen'],World Cup
5,1031,2009/10/31,2009/11/01,World Cup Ulaanbaatar 2009,105,Ulaanbaatar,,,2009,0,JUA,0,wcup_mgl2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,MGL,Mongolia,61,0,,wcup_mgl2009,1,['sen'],World Cup
6,1027,2009/10/10,2009/10/11,World Cup Minsk 2009,53,Minsk,,,2009,0,EJU,0,wcup_blr2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,BLR,Belarus,16,0,,wcup_blr2009,1,['sen'],World Cup
7,1028,2009/10/10,2009/10/11,World Cup Baku 2009,55,Baku,,,2009,0,EJU,0,wcup_aze2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,AZE,Azerbaijan,8,0,,wcup_aze2009,1,['sen'],World Cup
8,1026,2009/09/19,2009/09/20,World Cup Birmingham 2009,108,Birmingham,,,2009,0,EJU,0,wcup_gbr2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,GBR,Great Britain,26,0,,wcup_gbr2009,1,['sen'],World Cup
9,1020,2009/08/26,2009/08/30,World Championships Rotterdam 2009,109,Rotterdam,,,2009,1,EJU,0,wc2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,NED,Netherlands,28,0,,wc2009,1,['sen'],World Championships
10,1044,2009/07/11,2009/07/12,World Cup Belo Horizonte 2009,108,Belo Horizonte,,,2009,0,PJC,0,wcup_bra2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,BRA,Brazil,49,0,,wcup_bra2009,1,['sen'],World Cup
11,1021,2009/07/04,2009/07/05,Grand Slam Rio de Janeiro 2009,112,Rio de Janeiro,,,2009,1,PJC,0,gs_rio2009,1683351132,2023-05-06 05:32:12,,1,ijf_official,BRA,Brazil,49,0,,gs_rio2009,1,['sen'],Grand Slam
